invoice_id,client_id,invoice_amount,invoice_issue_date,invoice_due_date,paid_date,payment_status,delay_days,payment_time,invoice_age,days_until_due,rolling_delay_mean,rolling_delay_std,client_avg_delay,client_max_delay,client_total_invoices,client_avg_invoice_value,client_late_payment_ratio,client_payment_frequency,client_name,industry
INV00965,C001,365900.0,2024-04-02,2024-05-17,2024-06-14,overdue,28.0,73.0,709,-664,28.0,0.0,8.92,76.0,25,143812.0,0.4,23.25,Client_B_1,Healthcare
INV00339,C001,46500.0,2024-04-03,2024-05-03,2024-04-30,paid,-3.0,27.0,708,-678,12.5,21.920310216782973,8.92,76.0,25,143812.0,0.4,23.25,Client_B_1,Healthcare
INV01126,C001,57400.0,2024-04-08,2024-05-08,2024-05-04,paid,-4.0,26.0,703,-673,7.0,18.193405398660254,8.92,76.0,25,143812.0,0.4,23.25,Client_B_1,Healthcare
INV01025,C001,93700.0,2024-04-18,2024-06-17,2024-08-25,overdue,69.0,129.0,693,-633,22.5,34.375378785791824,8.92,76.0,25,143812.0,0.4,23.25,Client_B_1,Healthcare
INV00241,C001,45100.0,2024-07-12,2024-08-11,2024-08-10,paid,-1.0,29.0,608,-578,17.8,31.570555902612803,8.92,76.0,25,143812.0,0.4,23.25,Client_B_1,Healthcare
INV00111,C001,17300.0,2024-08-06,2024-10-05,2024-09-30,paid,-5.0,55.0,583,-523,11.2,32.34501507187777,8.92,76.0,25,143812.0,0.4,23.25,Client_B_1,Healthcare
INV00194,C001,179000.0,2024-09-11,2024-09-26,2024-09-23,paid,-3.0,12.0,547,-532,11.2,32.34501507187777,8.92,76.0,25,143812.0,0.4,23.25,Client_B_1,Healthcare
INV01169,C001,98800.0,2024-09-23,2024-11-22,2024-11-21,paid,-1.0,59.0,535,-475,11.8,32.01874451005224,8.92,76.0,25,143812.0,0.4,23.25,Client_B_1,Healthcare
INV00504,C001,43400.0,2024-10-15,2024-12-14,2024-12-09,paid,-5.0,55.0,513,-453,-3.0,2.0,8.92,76.0,25,143812.0,0.4,23.25,Client_B_1,Healthcare
INV00364,C001,34300.0,2024-12-25,2025-01-24,2025-01-25,overdue,1.0,31.0,442,-412,-2.6,2.6076809620810595,8.92,76.0,25,143812.0,0.4,23.25,Client_B_1,Healthcare
INV01097,C001,138700.0,2025-01-02,2025-03-03,2025-03-28,overdue,25.0,85.0,434,-374,3.4,12.280065146407,8.92,76.0,25,143812.0,0.4,23.25,Client_B_1,Healthcare
